CUDA available: True
Device name: NVIDIA GeForce RTX 4090
Current device: 0

===== Fold 1/ 5 =====
[Fold 1] Epoch 89/100 | Train Loss: 0.0366 | Val Acc: 0.9403 | Val F1: 0.9414
[Fold 1] Epoch 90/100 | Train Loss: 0.0350 | Val Acc: 0.9407 | Val F1: 0.9412
[Fold 1] Epoch 91/100 | Train Loss: 0.0273 | Val Acc: 0.9383 | Val F1: 0.9393
[Fold 1] Epoch 92/100 | Train Loss: 0.0298 | Val Acc: 0.9398 | Val F1: 0.9404
[Fold 1] Epoch 93/100 | Train Loss: 0.0374 | Val Acc: 0.9399 | Val F1: 0.9409
[Fold 1] Epoch 94/100 | Train Loss: 0.0301 | Val Acc: 0.9403 | Val F1: 0.9417
[Fold 1] Epoch 95/100 | Train Loss: 0.0285 | Val Acc: 0.9389 | Val F1: 0.9405
[Fold 1] Epoch 96/100 | Train Loss: 0.0328 | Val Acc: 0.9399 | Val F1: 0.9408
[Fold 1] Epoch 97/100 | Train Loss: 0.0289 | Val Acc: 0.9407 | Val F1: 0.9421
[Fold 1] Epoch 98/100 | Train Loss: 0.0307 | Val Acc: 0.9385 | Val F1: 0.9399
[Fold 1] Epoch 99/100 | Train Loss: 0.0251 | Val Acc: 0.9385 | Val F1: 0.9395
[Fold 1] Epoch 100/100 | Train Loss: 0.0337 | Val Acc: 0.9416 | Val F1: 0.9429

===== Fold 3/ 5 =====
[Fold 2] Epoch 1/100 | Train Loss: 0.5054 | Val Acc: 0.9029 | Val F1: 0.9092
[Fold 2] Epoch 2/100 | Train Loss: 0.2408 | Val Acc: 0.9349 | Val F1: 0.9352
[Fold 2] Epoch 3/100 | Train Loss: 0.2158 | Val Acc: 0.9345 | Val F1: 0.9360
[Fold 2] Epoch 4/100 | Train Loss: 0.2002 | Val Acc: 0.9178 | Val F1: 0.9225
[Fold 2] Epoch 5/100 | Train Loss: 0.1869 | Val Acc: 0.9410 | Val F1: 0.9414
[Fold 2] Epoch 6/100 | Train Loss: 0.1833 | Val Acc: 0.9354 | Val F1: 0.9344
[Fold 2] Epoch 7/100 | Train Loss: 0.1758 | Val Acc: 0.9378 | Val F1: 0.9398
[Fold 2] Epoch 8/100 | Train Loss: 0.1685 | Val Acc: 0.9321 | Val F1: 0.9349
[Fold 2] Epoch 9/100 | Train Loss: 0.1664 | Val Acc: 0.9327 | Val F1: 0.9356
[Fold 2] Epoch 10/100 | Train Loss: 0.1654 | Val Acc: 0.9285 | Val F1: 0.9318
[Fold 2] Epoch 11/100 | Train Loss: 0.1568 | Val Acc: 0.9354 | Val F1: 0.9376
[Fold 2] Epoch 12/100 | Train Loss: 0.1509 | Val Acc: 0.9427 | Val F1: 0.9425
[Fold 2] Epoch 13/100 | Train Loss: 0.1509 | Val Acc: 0.9465 | Val F1: 0.9472
[Fold 2] Epoch 14/100 | Train Loss: 0.1450 | Val Acc: 0.9058 | Val F1: 0.9126
[Fold 2] Epoch 15/100 | Train Loss: 0.1447 | Val Acc: 0.9430 | Val F1: 0.9441
[Fold 2] Epoch 16/100 | Train Loss: 0.1434 | Val Acc: 0.9352 | Val F1: 0.9339
[Fold 2] Epoch 17/100 | Train Loss: 0.1369 | Val Acc: 0.9323 | Val F1: 0.9353
[Fold 2] Epoch 18/100 | Train Loss: 0.1357 | Val Acc: 0.9378 | Val F1: 0.9395
[Fold 2] Epoch 19/100 | Train Loss: 0.1248 | Val Acc: 0.9481 | Val F1: 0.9487
[Fold 2] Epoch 20/100 | Train Loss: 0.1253 | Val Acc: 0.9485 | Val F1: 0.9491
[Fold 2] Epoch 21/100 | Train Loss: 0.1287 | Val Acc: 0.9383 | Val F1: 0.9398
[Fold 2] Epoch 22/100 | Train Loss: 0.1189 | Val Acc: 0.9432 | Val F1: 0.9442
[Fold 2] Epoch 23/100 | Train Loss: 0.1159 | Val Acc: 0.9452 | Val F1: 0.9447
[Fold 2] Epoch 24/100 | Train Loss: 0.1115 | Val Acc: 0.9399 | Val F1: 0.9409
[Fold 2] Epoch 25/100 | Train Loss: 0.1125 | Val Acc: 0.9447 | Val F1: 0.9459
[Fold 2] Epoch 26/100 | Train Loss: 0.1072 | Val Acc: 0.9448 | Val F1: 0.9457
[Fold 2] Epoch 27/100 | Train Loss: 0.1001 | Val Acc: 0.9425 | Val F1: 0.9433
[Fold 2] Epoch 28/100 | Train Loss: 0.0992 | Val Acc: 0.9481 | Val F1: 0.9482
[Fold 2] Epoch 29/100 | Train Loss: 0.0946 | Val Acc: 0.9456 | Val F1: 0.9466
[Fold 2] Epoch 30/100 | Train Loss: 0.0955 | Val Acc: 0.9468 | Val F1: 0.9474
[Fold 2] Epoch 31/100 | Train Loss: 0.0892 | Val Acc: 0.9467 | Val F1: 0.9473
[Fold 2] Epoch 32/100 | Train Loss: 0.0925 | Val Acc: 0.9465 | Val F1: 0.9466
[Fold 2] Epoch 33/100 | Train Loss: 0.0854 | Val Acc: 0.9430 | Val F1: 0.9426
[Fold 2] Epoch 34/100 | Train Loss: 0.0812 | Val Acc: 0.9458 | Val F1: 0.9456
[Fold 2] Epoch 35/100 | Train Loss: 0.0850 | Val Acc: 0.9448 | Val F1: 0.9457
[Fold 2] Epoch 36/100 | Train Loss: 0.0755 | Val Acc: 0.9434 | Val F1: 0.9446
[Fold 2] Epoch 37/100 | Train Loss: 0.0756 | Val Acc: 0.9399 | Val F1: 0.9399
[Fold 2] Epoch 38/100 | Train Loss: 0.0743 | Val Acc: 0.9287 | Val F1: 0.9307
[Fold 2] Epoch 39/100 | Train Loss: 0.0781 | Val Acc: 0.9399 | Val F1: 0.9397
[Fold 2] Epoch 40/100 | Train Loss: 0.0757 | Val Acc: 0.9432 | Val F1: 0.9441
[Fold 2] Epoch 41/100 | Train Loss: 0.0668 | Val Acc: 0.9430 | Val F1: 0.9431
[Fold 2] Epoch 42/100 | Train Loss: 0.0654 | Val Acc: 0.9412 | Val F1: 0.9407
[Fold 2] Epoch 43/100 | Train Loss: 0.0615 | Val Acc: 0.9448 | Val F1: 0.9444
[Fold 2] Epoch 44/100 | Train Loss: 0.0658 | Val Acc: 0.9430 | Val F1: 0.9426
[Fold 2] Epoch 45/100 | Train Loss: 0.0634 | Val Acc: 0.9418 | Val F1: 0.9415
[Fold 2] Epoch 46/100 | Train Loss: 0.0569 | Val Acc: 0.9418 | Val F1: 0.9407
[Fold 2] Epoch 47/100 | Train Loss: 0.0617 | Val Acc: 0.9447 | Val F1: 0.9446
[Fold 2] Epoch 48/100 | Train Loss: 0.0541 | Val Acc: 0.9452 | Val F1: 0.9445
[Fold 2] Epoch 49/100 | Train Loss: 0.0534 | Val Acc: 0.9403 | Val F1: 0.9414
[Fold 2] Epoch 50/100 | Train Loss: 0.0514 | Val Acc: 0.9365 | Val F1: 0.9362
[Fold 2] Epoch 51/100 | Train Loss: 0.0511 | Val Acc: 0.9441 | Val F1: 0.9446
[Fold 2] Epoch 52/100 | Train Loss: 0.0460 | Val Acc: 0.9380 | Val F1: 0.9370
[Fold 2] Epoch 53/100 | Train Loss: 0.0491 | Val Acc: 0.9361 | Val F1: 0.9353
[Fold 2] Epoch 54/100 | Train Loss: 0.0480 | Val Acc: 0.9269 | Val F1: 0.9245
